1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.19,0.47,0.57,0.56,0.62,0.22,0.22,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.42,1.25,1.97,2.46,2.76,2.73,2.18,0.76,0.42,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,2
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.63,0.77,1.56,1.26,0.59,0.29,0.22,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.17,0.31,0.47,1.16,1.49,2.03,1.56,0.52,0.31,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,8.1,4
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.48,1.26,1.99,2.49,2.76,2.56,1.22,0.75,0.34,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.48,1.25,1.99,2.49,2.76,2.74,2.49,1.71,0.42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,6
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.13,0.23,0.3,0.42,0.74,0.59,0.26,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,0.78,1.27,1.09,1.83,1.65,1.35,1.15,0.75,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.0,10.5,8
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.23,1.2,2.04,2.49,2.66,2.11,1.1,0.69,0.29,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,12.9,9
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.34,0.65,0.4,0.39,0.44,0.19,0.13,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.29,0.47,0.78,1.55,2.01,1.71,0.5,0.18,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,7.7,11
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.41,1.17,1.66,2.32,2.82,3.37,2.47,0.96,0.51,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,12
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.36,0.51,0.6,0.75,0.63,0.3,0.36,0.27,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.47,1.45,2.54,2.98,2.61,0.7,0.49,0.27,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0,11.9,14
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.49,1.3,2.06,2.6,2.67,1.96,1.74,1.27,0.61,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.2,0.72,1.18,0.76,0.89,0.64,0.48,0.24,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.4,16
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.62,0.87,0.66,1.27,1.17,1.22,1.55,0.6,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.0,8.5,17
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.31,1.06,2.12,2.63,2.95,2.96,2.68,2.19,1.24,0.56,0.02,0.0,0.0,0.0,0.0,0.0,0.0,18.7,18
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.29,0.77,1.19,1.44,1.92,2.25,1.61,1.02,0.63,0.34,0.03,0.0,0.0,0.0,0.0,0.0,0.0,11.5,19
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,1.2,1.98,2.64,1.79,1.51,1.52,1.72,1.01,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,13.9,20
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.29,0.63,1.29,1.26,0.41,0.31,0.22,0.13,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.7,21
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.51,1.22,1.22,0.94,1.55,1.47,0.81,0.35,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,8.3,22
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.51,1.18,1.23,1.07,0.65,0.42,0.22,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.19,0.24,0.33,0.32,0.22,0.13,0.08,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.7,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.26,0.32,0.48,0.37,0.31,0.12,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.2,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.24,0.4,0.58,0.38,0.35,0.23,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.24,0.19,0.18,0.24,0.17,0.11,0.11,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.5,27
0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.07,0.17,0.4,0.49,0.5,0.39,0.25,0.2,0.15,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.7,28
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.37,1.02,1.48,1.17,2.19,2.24,1.27,0.61,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,10.7,29
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.25,1.14,1.24,1.96,1.44,2.55,2.04,0.68,0.51,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.34,0.56,0.74,0.95,1.88,2.5,2.86,1.2,0.49,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,11.8,31
0,0,0,0,0,0.0,0.4,6.6,18.9,32.2,42.2,46.2,47.1,36.4,22.1,11.5,4.3,0.4,0,0,0,0,0,0,,總和
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,日/時